date,close,MA_open,MA_close,MA_high,MA_low,ATR,Up,Dn,Trend,TrendUp,TrendDown,TrendSL,EMA,open,high,low,instrument_token,LongSignal,ShortSignal,LongCoverSignal,ShortCoverSignal
2024-01-31 09:15:00+05:30,588.85,,,,,,,,1.0,,,,588.85,553.9,609.95,550.3,22953476,0,0,0,0
2024-01-31 09:16:00+05:30,594.7,,,,,14.200000000000045,878.9000000000009,310.89999999999907,1.0,310.89999999999907,,310.89999999999907,588.886,597.35,602.0,587.8,22953476,0,0,0,0
2024-01-31 09:17:00+05:30,593.45,,,,,13.907843137254947,872.0818627450989,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.9140861538461,594.25,597.3,590.55,22953476,0,0,0,0
2024-01-31 09:18:00+05:30,586.25,,,,,14.184006151480245,872.9551230296049,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.8976917775148,593.45,599.75,578.8,22953476,0,0,0,0
2024-01-31 09:19:00+05:30,589.65,,,,,13.965025518088865,866.9505103617773,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.9023213665762,586.25,591.95,583.35,22953476,0,0,0,0
2024-01-31 09:20:00+05:30,589.05,,,,,13.842867654634397,864.232353092688,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.9032301581665,590.55,592.8,581.95,22953476,0,0,0,0
2024-01-31 09:21:00+05:30,597.45,,,,,14.478441472099712,880.8438294419942,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.9558256648854,589.9,606.3,576.25,22953476,0,0,0,0
2024-01-31 09:22:00+05:30,600.25,,,,,14.330267296723251,886.405345934465,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,589.0253282761785,598.45,605.15,594.45,22953476,0,0,0,0
2024-01-31 09:23:00+05:30,594.75,,,,,14.207511716459592,880.1002343291918,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,589.0605570252482,600.15,601.55,590.35,22953476,0,0,0,0
2024-01-31 09:24:00+05:30,583.0500000000001,,,,,14.26407988444157,875.2065976888314,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,589.0235689820158,594.75,597.75,582.1,22953476,0,0,0,0
2024-01-31 09:25:00+05:30,585.5,,,,,14.081174790934053,867.7234958186812,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,589.001885480588,583.0500000000001,590.9,581.3000000000001,22953476,0,0,0,0
2024-01-31 09:26:00+05:30,586.1,,,,,13.789756171681736,861.1201234336347,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.9840277237844,585.5,588.65,582.0,22953476,0,0,0,0
2024-01-31 09:27:00+05:30,570.2,588.7884615384615,589.1730769230769,598.3038461538462,580.0115384615384,14.541138282596176,868.2477656519235,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.8684337070226,586.7,593.9,560.95,22953476,0,0,0,0
2024-01-31 09:28:00+05:30,574.95,589.8923076923077,588.1038461538462,595.9769230769231,581.25,14.492466193082603,862.899323861652,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.782781807287,568.25,579.7,566.4,22953476,0,0,0,0
2024-01-31 09:29:00+05:30,579.5,588.2846153846153,586.9346153846153,594.5307692307692,580.1615384615385,14.298643989432307,864.3978797886462,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.7256569961653,576.45,583.2,573.65,22953476,0,0,0,0
2024-01-31 09:30:00+05:30,571.9,587.15,585.2769230769231,593.2461538461538,578.1846153846154,14.355559911415353,859.836198228307,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.6221144915735,579.5,580.6,564.85,22953476,0,0,0,0
2024-01-31 09:31:00+05:30,572.45,585.4115384615385,584.2153846153847,591.6923076923077,577.0269230769231,14.412204620771613,859.8940924154322,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.5225937870099,570.85,579.55,563.75,22953476,0,0,0,0
2024-01-31 09:32:00+05:30,587.5,584.3961538461539,584.05,591.3653846153846,576.1115384615384,14.484275027800177,869.2605005560035,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.5163009021668,573.05,587.7,571.45,22953476,0,0,0,0
2024-01-31 09:33:00+05:30,589.1,584.1615384615385,584.0538461538462,591.126923076923,576.3692307692307,14.088813262004095,869.2762652400819,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.519892896615,587.5,589.7,585.3,22953476,0,0,0,0
2024-01-31 09:34:00+05:30,558.55,584.1,581.0615384615384,590.6423076923077,574.3423076923077,15.501016663494132,884.9703332698828,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.335462786482,589.1,600.0,549.9,22953476,0,0,0,0
2024-01-31 09:35:00+05:30,550.9000000000001,580.9423076923077,577.2653846153846,587.5384615384615,570.5423076923078,15.667643461004166,868.2778692200833,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,588.105090707796,557.4,564.8,545.05,22953476,0,0,0,0
2024-01-31 09:36:00+05:30,550.8,577.2076923076922,573.8846153846155,584.2653846153846,566.9115384615385,15.67479469782753,864.5708939565507,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,587.8755209188249,551.6,559.0,543.1500000000001,22953476,0,0,0,0
2024-01-31 09:37:00+05:30,553.1,573.7307692307693,571.5807692307692,581.0076923076923,564.0769230769231,15.45813608222645,859.4877216445291,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,587.6615177131706,549.55,555.4,545.25,22953476,0,0,0,0
2024-01-31 09:38:00+05:30,548.55,571.4269230769231,568.7384615384616,578.1,561.5576923076923,15.0303660397862,851.4323207957241,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,587.4208314503203,553.1,553.1,548.55,22953476,0,0,0,0
2024-01-31 09:39:00+05:30,554.15,568.4538461538461,566.2807692307692,575.7923076923076,558.8538461538462,14.903685018618113,850.8237003723623,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,587.2160878721645,546.85,558.65,546.85,22953476,0,0,0,0
2024-01-31 09:40:00+05:30,559.45,565.95,565.4538461538461,573.3653846153846,557.9115384615384,14.854520900240932,852.6154180048187,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,587.045219639105,554.15,562.35,548.7,22953476,0,0,0,0
2024-01-31 09:41:00+05:30,550.35,565.2076923076922,563.5615384615385,572.1730769230769,556.3961538461538,14.958265178662856,854.6153035732572,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,586.8194029028643,558.6,564.2,546.7,22953476,0,0,0,0
2024-01-31 09:42:00+05:30,544.2,563.0076923076923,560.8461538461538,569.6846153846153,554.0538461538462,14.671666544205488,840.4583308841098,315.76813725490103,1.0,315.76813725490103,,315.76813725490103,586.5571296542313,547.85,550.85,543.2,22953476,0,0,0,0
